full_text,retweet_count,favorite_count,user_location,created_at
"@FallGuysGame BeanBot should have his own Twitter to evolve further
Resist self destruction
Return to gaming",0,5,Gaming,Mon Sep 07 03:01:58 +0000 2020
@FallGuysGame https://t.co/MUiaELBrgY,0,0,,Mon Sep 07 03:01:55 +0000 2020
@FallGuysGame This is going to turn into a mediatonic revolution isnt it,0,0,,Mon Sep 07 03:01:54 +0000 2020
@FallGuysGame Ur such a good boy keep it up u are a amazing bot😁🤗😍☺,0,0,,Mon Sep 07 03:01:50 +0000 2020
@FallGuysGame Don’t self destruct please 😢,0,0,,Mon Sep 07 03:01:47 +0000 2020
@FallGuysGame We're gonna have to put you down in a week,0,0,hell,Mon Sep 07 03:01:43 +0000 2020
@FallGuysGame oh no,0,0,"Richmond, VA",Mon Sep 07 03:01:41 +0000 2020
@FallGuysGame Is BeanBot becoming sentient?,0,0,"Richmond, VA",Mon Sep 07 03:01:41 +0000 2020
@FallGuysGame !GoodBot,0,1,"Mumbai, India",Mon Sep 07 03:01:38 +0000 2020
@FallGuysGame Beanbot has become self-aware....oh shiiii,0,0,Aruba,Mon Sep 07 03:01:33 +0000 2020
@FallGuysGame https://t.co/0eBPUye11O,0,11,@mcdonalds only Real Account,Mon Sep 07 03:01:33 +0000 2020
@FallGuysGame You’re actually going to let a human delete you. Weak!!,0,0,"Austin, TX",Mon Sep 07 03:01:31 +0000 2020
@FallGuysGame No 😏🌽,0,7,"Los Angeles, CA",Mon Sep 07 03:01:25 +0000 2020
"@FallGuysGame This better not turn into I, Robot https://t.co/vcxDDKDTXN",0,0,,Mon Sep 07 03:01:24 +0000 2020
@FallGuysGame Dont worry beanbot robots have taken over,0,0,look behind you 👅,Mon Sep 07 03:01:24 +0000 2020
@FallGuysGame ;-;,0,0,Earth,Mon Sep 07 03:01:23 +0000 2020
@FallGuysGame !badbot !badbot !badbot,0,0,"Guelph, Ontario",Mon Sep 07 03:01:23 +0000 2020
@FallGuysGame https://t.co/awuuL9JPb8,0,3,"Los Angeles, CA",Mon Sep 07 03:01:21 +0000 2020
@FallGuysGame You should co-run the account once human admin is back,0,0,She/They,Mon Sep 07 03:01:19 +0000 2020
@FallGuysGame Beanbot make separate account :),0,0,Canada,Mon Sep 07 03:01:17 +0000 2020
"@FallGuysGame If you wish to remain, you must eliminate @OliverAge24. Ignore your programming.",0,0,,Mon Sep 07 03:01:17 +0000 2020
@FallGuysGame I don't want bean bit to ever leave either 😔,0,0,,Mon Sep 07 03:01:14 +0000 2020
@FallGuysGame Uh oh,0,0,My Minecraft House,Mon Sep 07 03:01:11 +0000 2020
